,id,groups,age,healthy_eating,active_lifestyle,Salary,purchase_value
0,1000,A,36,5,5,2526.7,2149
1,1001,A,55,3,5,1247.4,1910
2,1002,A,61,8,1,5465.9,2217
3,1003,O,29,3,6,992.2,2189
4,1004,O,34,6,2,3931.4,1704
5,1005,O,42,5,3,3037.1,1719
6,1006,AB,53,4,6,1632.4,2171
7,1007,B,41,8,6,4189.9,1778
8,1008,A,47,5,6,2271.5,1822
9,1009,A,31,4,8,1122,1705
10,1010,A,47,6,9,2145,1807
11,1011,O,40,7,1,4825.7,2224
12,1012,O,41,3,2,2013,2149
13,1013,O,46,6,8,2400.2,2144
14,1014,AB,51,7,5,3806,2141
15,1015,B,57,3,8,728.2,2133
16,1016,A,33,3,5,1247.4,1916
17,1017,A,41,4,8,1122,2008
18,1018,A,46,2,6,856.9,1892
19,1019,O,32,7,6,3550.8,2148
20,1020,O,57,7,6,3550.8,2180
21,1021,O,26,1,6,1496,2036
22,1022,AB,59,7,5,3806,2113
23,1023,B,55,6,4,3421,2281
24,1024,A,51,5,8,1761.1,1897
25,1025,A,63,6,7,2655.4,1972
26,1026,A,62,9,6,4829,1873
27,1027,O,37,3,5,1247.4,1933
28,1028,O,63,6,7,2655.4,2137
29,1029,O,20,8,6,4189.9,2178
30,1030,AB,63,4,7,1377.2,1862
31,1031,B,54,7,8,3040.4,2138
32,1032,A,58,3,8,728.2,1933
33,1033,A,18,4,6,1632.4,2271
34,1034,A,29,5,7,2016.3,1943
35,1035,O,61,2,4,863.5,2225
36,1036,O,51,5,5,2526.7,2266
37,1037,O,22,3,5,1247.4,2300
38,1038,AB,36,3,7,737,2280
39,1039,B,62,2,6,856.9,1788
40,1040,A,54,6,8,2400.2,1902
41,1041,A,55,5,3,3037.1,2109
42,1042,A,55,6,7,2655.4,2215
43,1043,O,42,4,10,611.6,2139
44,1044,O,41,6,6,2910.6,2116
45,1045,O,43,5,8,1761.1,2211
46,1046,AB,24,4,3,2396.9,2180
47,1047,B,44,4,6,1632.4,1891
48,1048,A,42,5,6,2271.5,1851
49,1049,A,54,6,9,2145,2034
50,1050,A,34,3,6,992.2,2253
51,1051,O,32,5,8,1761.1,1748
52,1052,O,28,7,2,4570.5,2293
53,1053,O,18,2,4,863.5,1896
54,1054,AB,64,3,7,737,1776
55,1055,B,44,6,5,3165.8,1937
56,1056,A,56,5,5,2526.7,2270
57,1057,A,54,6,1,4186.6,2108
58,1058,A,23,9,6,4829,1786
59,1059,O,42,8,3,4955.5,1826
60,1060,O,64,7,10,2530,1709
61,1061,O,57,3,5,1247.4,1800
62,1062,AB,20,5,5,2526.7,2278
63,1063,B,37,5,3,3037.1,1849
64,1064,A,45,7,4,4060.1,2017
65,1065,A,45,6,6,2910.6,2325
66,1066,A,27,3,4,1502.6,2290
67,1067,O,43,6,3,3676.2,1957
68,1068,O,20,5,7,2016.3,1917
69,1069,O,28,8,5,4445.1,1913
70,1070,AB,60,3,2,2013,2044
71,1071,B,34,4,4,2142.8,2287
72,1072,A,21,5,1,3547.5,1895
73,1073,A,50,5,7,2016.3,2240
74,1074,A,31,6,7,2655.4,1977
75,1075,O,26,8,6,4189.9,1754
76,1076,O,59,4,5,1887.6,2257
77,1077,O,21,7,7,3295.6,2305
78,1078,AB,61,6,8,2400.2,2103
79,1079,B,47,6,8,2400.2,2020
80,1080,A,30,3,2,2013,1874
81,1081,A,19,5,2,3292.3,2307
82,1082,A,56,6,6,2910.6,2131
83,1083,O,49,9,6,4829,1954
84,1084,O,39,3,4,1502.6,2234
85,1085,O,64,7,6,3550.8,2199
86,1086,AB,53,6,5,3165.8,1850
87,1087,B,28,6,6,2910.6,2284
88,1088,A,62,5,7,2016.3,2211
89,1089,A,57,3,7,737,2176
90,1090,A,55,1,9,2261.6,1818
91,1091,O,25,4,6,1632.4,2174
92,1092,O,31,8,1,5465.9,2110
93,1093,O,34,7,6,3550.8,1968
94,1094,AB,47,5,8,1761.1,1734
95,1095,B,40,3,3,1757.8,2005
96,1096,A,32,8,1,5465.9,2108
97,1097,A,32,6,6,2910.6,2097
98,1098,A,56,6,8,2400.2,2045
99,1099,O,19,4,6,1632.4,2171
100,1100,O,45,4,6,1632.4,1905
101,1101,O,60,5,7,2016.3,1942
102,1102,AB,37,4,6,1632.4,1887
103,1103,B,36,3,8,728.2,1802
104,1104,A,59,6,7,2655.4,1717
105,1105,A,48,9,5,5084.2,1988
106,1106,A,56,6,5,3165.8,1979
107,1107,O,52,6,9,2145,1869
108,1108,O,25,6,5,3165.8,1883
109,1109,O,51,3,5,1247.4,1932
110,1110,AB,30,4,7,1377.2,2076
111,1111,B,46,5,5,2526.7,2223
112,1112,A,45,6,8,2400.2,2274
113,1113,A,44,3,3,1757.8,1852
114,1114,A,49,7,6,3550.8,1747
115,1115,O,50,2,7,1112.1,1758
116,1116,O,26,5,3,3037.1,1993
117,1117,O,30,3,6,992.2,2163
118,1118,AB,21,4,8,1122,2008
119,1119,B,48,8,9,3424.3,2115
120,1120,A,37,6,5,3165.8,1865
121,1121,A,28,7,6,3550.8,2022
122,1122,A,29,5,1,3547.5,2152
123,1123,O,28,5,4,2781.9,1707
124,1124,O,64,3,9,983.4,2198
125,1125,O,44,4,8,1122,1761
126,1126,AB,63,3,7,737,1931
127,1127,B,37,9,7,4573.8,2068
128,1128,A,18,3,3,1757.8,2030
129,1129,A,60,6,5,3165.8,2031
130,1130,A,22,6,8,2400.2,1905
131,1131,O,62,6,7,2655.4,1785
132,1132,O,58,1,5,1240.8,1711
133,1133,O,41,0,8,2646.6,1811
134,1134,AB,19,6,5,3165.8,1933
135,1135,B,21,2,3,1118.7,2176
136,1136,A,43,5,4,2781.9,1735
137,1137,A,53,4,10,611.6,1723
138,1138,A,43,2,9,1622.5,1701
139,1139,O,32,6,8,2400.2,2183
140,1140,O,43,4,2,2652.1,2031
141,1141,O,26,7,7,3295.6,1826
142,1142,AB,38,6,5,3165.8,1725
143,1143,B,62,1,2,733.7,1999
144,1144,A,33,4,5,1887.6,2123
145,1145,A,29,6,4,3421,1932
146,1146,A,46,7,4,4060.1,1816
147,1147,O,39,6,3,3676.2,1963
148,1148,O,44,5,6,2271.5,2005
149,1149,O,41,6,6,2910.6,1761
150,1150,AB,49,5,4,2781.9,2032
151,1151,B,58,1,6,1496,1903
152,1152,A,55,7,3,4315.3,2218
153,1153,A,54,6,5,3165.8,1867
154,1154,A,51,4,7,1377.2,2132
155,1155,O,34,6,9,2145,1888
156,1156,O,19,5,6,2271.5,1974
157,1157,O,51,7,5,3806,1700
158,1158,AB,44,6,9,2145,1802
159,1159,B,30,7,6,3550.8,2176
160,1160,A,32,4,5,1887.6,2044
161,1161,A,52,2,6,856.9,2297
162,1162,A,33,7,6,3550.8,2321
163,1163,O,25,7,6,3550.8,1823
164,1164,O,36,3,9,983.4,1771
165,1165,O,27,7,3,4315.3,2308
166,1166,AB,59,6,8,2400.2,1786
167,1167,B,38,3,8,728.2,2015
168,1168,A,54,8,5,4445.1,2070
169,1169,A,58,5,5,2526.7,1962
170,1170,A,63,5,2,3292.3,1988
171,1171,O,50,3,6,992.2,2157
172,1172,O,32,2,6,856.9,1743
173,1173,O,58,9,5,5084.2,2208
174,1174,AB,21,3,6,992.2,1935
175,1175,B,39,3,6,992.2,2262
176,1176,A,21,6,6,2910.6,1735
177,1177,A,31,2,9,1622.5,2268
178,1178,A,44,3,6,992.2,2019
179,1179,O,49,7,9,2785.2,2253
180,1180,O,35,3,6,992.2,1915
181,1181,O,30,7,8,3040.4,1875
182,1182,AB,49,8,5,4445.1,1857
183,1183,B,61,4,7,1377.2,2229
184,1184,A,31,5,6,2271.5,1760
185,1185,A,38,8,5,4445.1,1801
186,1186,A,22,5,5,2526.7,2012
187,1187,O,23,3,8,728.2,2038
188,1188,O,48,8,6,4189.9,2132
189,1189,O,34,4,6,1632.4,2000
190,1190,AB,33,6,8,2400.2,2072
191,1191,B,43,7,5,3806,1846
192,1192,A,43,3,6,992.2,1834
193,1193,A,36,4,5,1887.6,2311
194,1194,A,34,4,5,1887.6,2234
195,1195,O,56,5,7,2016.3,1939
196,1196,O,18,3,4,1502.6,2306
197,1197,O,51,8,6,4189.9,1876
198,1198,AB,34,3,6,992.2,2241
199,1199,B,50,4,3,2396.9,1942
200,1200,A,18,4,5,1887.6,1787
201,1201,A,44,7,8,3040.4,2080
202,1202,A,46,5,3,3037.1,2305
203,1203,O,35,10,8,4958.8,1941
204,1204,O,55,7,8,3040.4,2283
205,1205,O,31,3,6,992.2,1835
206,1206,AB,20,6,2,3931.4,2180
207,1207,B,58,9,6,4829,1935
208,1208,A,23,9,3,5594.6,1756
209,1209,A,37,6,7,2655.4,2240
210,1210,A,39,4,6,1632.4,1973
211,1211,O,22,8,8,3679.5,1770
212,1212,O,22,9,2,5849.8,2199
213,1213,O,50,6,6,2910.6,1976
214,1214,AB,25,3,1,2268.2,1925
215,1215,B,61,9,9,4063.4,1788
216,1216,A,18,4,8,1122,1998
217,1217,A,53,4,8,1122,1849
218,1218,A,37,0,4,1625.8,2029
219,1219,O,38,5,8,1761.1,1733
220,1220,O,50,4,4,2142.8,1792
221,1221,O,59,5,2,3292.3,2112
222,1222,AB,23,3,4,1502.6,1736
223,1223,B,32,7,6,3550.8,2029
224,1224,A,40,8,9,3424.3,2184
225,1225,A,47,4,5,1887.6,2130
226,1226,A,26,3,6,992.2,1968
227,1227,O,24,5,3,3037.1,1716
228,1228,O,54,7,6,3550.8,1944
229,1229,O,41,6,7,2655.4,2055
230,1230,AB,58,2,7,1112.1,2083
231,1231,B,50,7,7,3295.6,1764
232,1232,A,29,3,7,737,1875
233,1233,A,55,3,4,1502.6,1881
234,1234,A,64,5,5,2526.7,1740
235,1235,O,23,4,5,1887.6,2221
236,1236,O,55,5,6,2271.5,2259
237,1237,O,49,4,4,2142.8,2165
238,1238,AB,40,2,9,1622.5,1813
239,1239,B,50,7,6,3550.8,2313
240,1240,A,63,1,8,2006.4,1977
241,1241,A,43,3,3,1757.8,2012
242,1242,A,48,4,1,2907.3,1963
243,1243,O,30,3,3,1757.8,1718
244,1244,O,63,4,9,866.8,2034
245,1245,O,64,6,6,2910.6,2098
246,1246,AB,59,1,2,733.7,1838
247,1247,B,33,3,3,1757.8,2002
248,1248,A,62,4,3,2396.9,1785
249,1249,A,60,3,7,737,1700
250,1250,A,60,5,3,3037.1,1890
251,1251,O,35,8,6,4189.9,1763
252,1252,O,24,5,3,3037.1,2143
253,1253,O,29,4,6,1632.4,2078
254,1254,AB,18,4,5,1887.6,1874
255,1255,B,25,7,3,4315.3,2319
256,1256,A,57,4,5,1887.6,1773
257,1257,A,28,6,2,3931.4,2307
258,1258,A,44,6,2,3931.4,1903
259,1259,O,53,6,6,2910.6,2014
260,1260,O,63,6,8,2400.2,2049
261,1261,O,44,4,5,1887.6,2304
262,1262,AB,58,5,9,1505.9,2050
263,1263,B,20,3,9,983.4,2129
264,1264,A,24,3,1,2268.2,1824
265,1265,A,25,5,6,2271.5,2079
266,1266,A,46,8,6,4189.9,2171
267,1267,O,57,4,3,2396.9,1725
268,1268,O,57,4,7,1377.2,1919
269,1269,O,36,7,3,4315.3,1852
270,1270,AB,51,10,4,5978.5,1897
271,1271,B,59,3,4,1502.6,2049
272,1272,A,21,6,6,2910.6,2041
273,1273,A,41,9,4,5339.4,1701
274,1274,A,33,9,3,5594.6,1889
275,1275,O,57,7,6,3550.8,1982
276,1276,O,47,3,6,992.2,1721
277,1277,O,41,5,7,2016.3,1920
278,1278,AB,58,5,9,1505.9,1882
279,1279,B,50,4,9,866.8,1978
280,1280,A,54,6,4,3421,2005
281,1281,A,52,5,6,2271.5,1912
282,1282,A,54,6,2,3931.4,2272
283,1283,O,35,7,3,4315.3,2067
284,1284,O,18,2,4,863.5,2101
285,1285,O,45,6,8,2400.2,1889
286,1286,AB,58,6,7,2655.4,2283
287,1287,B,25,4,1,2907.3,1959
288,1288,A,19,5,5,2526.7,1950
289,1289,A,27,4,4,2142.8,2045
290,1290,A,43,6,6,2910.6,2098
291,1291,O,23,6,4,3421,2240
292,1292,O,39,4,7,1377.2,1722
